query,vol,kd,cpc,competition,intent,assigned_to,priority,status,compliance_risk,notes,primary_article_slug,coverage_status,kd_source,score,role,compliance,ai_overview,serp_verdict,sources
testos blood test,3600,8,,,,,2,candidate,,teardown/discovery 2026-06-21,,,dfs,7,commercial,,Y,CONTESTED,backlog
blood testing testosterone,3600,8,,,,C,2,candidate,high,teardown/discovery 2026-06-21,,,dfs,7,commercial,gate,Y,CONTESTED,backlog
hiv test kit,3600,9,,,,,2,candidate,,teardown/discovery 2026-06-21,,,dfs,8,commercial,,Y,MIXED,backlog
full body mot health check,3600,4,,,,,2,candidate,,teardown/discovery 2026-06-21,,,dfs,7,commercial,,Y,CONTESTED,discovery
blood test from home,2900,2,,,,,2,candidate,,teardown/discovery 2026-06-21,,,dfs,7,commercial,,Y,CONTESTED,backlog
ferritin test,2900,5,,,,D,2,candidate,,teardown/discovery 2026-06-21,,,dfs,8,commercial,,Y,MIXED,discovery
hormones blood test,2400,1,,,,,2,candidate,,teardown/discovery 2026-06-21,,,dfs,7,commercial,,Y,CONTESTED,backlog
blood test neutrophils,2400,0,,,,,2,candidate,,teardown/discovery 2026-06-21,,,dfs,8,commercial,,Y,MIXED,backlog
neut blood test,2400,8,,,,,2,candidate,,teardown/discovery 2026-06-21,,,dfs,7,commercial,,Y,CONTESTED,backlog
cholesterol kit test,2400,0,,,,I,2,candidate,,teardown/discovery 2026-06-21,,,dfs,7,commercial,,Y,CONTESTED,backlog
vitamin d test,2400,8,,,,A,2,candidate,,teardown/discovery 2026-06-21,,,dfs,7,commercial,,Y,CONTESTED,discovery
cholesterol machine test at home,2400,0,,,,I,2,candidate,,teardown/discovery 2026-06-21,,,dfs,7,commercial,,Y,CONTESTED,discovery
superdrug blood test,2400,0,,,,,2,candidate,,teardown/discovery 2026-06-21,,,dfs,7,commercial,,n,MIXED,discovery
vitamin d deficiency disease,49500,40,,,,A,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,discovery
vitamin d deficiency disease symptoms,33100,71,,,,A,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,discovery
blood test c reactive protein crp,27100,42,,,,D,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,discovery
vitamin d supplement,22200,38,,,,A,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,discovery
ferritin count,18100,36,,,,D,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,discovery
blood work test for liver function,18100,22,,,,H,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,discovery
lab test liver function,18100,30,,,,H,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,discovery
hba1c test,18100,25,,,,I,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,discovery
what foods are highest in iron,14800,37,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,backlog
why am i always tired all the time,14800,26,,,,B,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,discovery
function test liver,14800,44,,,,H,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,commercial,,,,discovery
forth,12100,30,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
ferritin serum level,12100,22,,,,D,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,discovery
hormonal imbalancement,9900,39,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,backlog
imbalance hormones,9900,39,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,backlog
imbalanced hormones,9900,39,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,backlog
bilirubin levels,8100,41,,,,H,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,backlog
mean cell hemoglobin,8100,18,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,spoke,,Y,CONTESTED,backlog
cortisol test,6600,12,,,,cortisol,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,Y,CONTESTED,backlog
mean cell hemoglobin concentration,6600,7,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,spoke,,Y,CONTESTED,backlog
mean corpuscular hemoglobin concentration,6600,18,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,n,CONTESTED,backlog
ferritin saturation,6600,11,,,,D,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,discovery
how long do blood test results take,6600,0,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,spoke,,,,discovery
bicarbonate,5400,8,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,spoke,,,,backlog
mean corpuscular concentration,5400,1,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,spoke,,,,backlog
mean corpusc hb conc mchc,5400,0,,,,D,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,spoke,,,,backlog
lab test hemoglobin,5400,15,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,backlog
mean cell hemoglobin level,4400,11,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
na serum levels,4400,14,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
cholesterol uk levels,4400,19,,,,I,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
lab test alkaline phosphatase,4400,14,,,,H,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,backlog
ferritin normal value,4400,9,,,,D,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,spoke,,,,discovery
ferritin range normal,4400,20,,,,D,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,discovery
ferritin level elevated,4400,9,,,,D,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,spoke,,,,discovery
high ferritin level,4400,28,,,,D,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,discovery
ferritin normal levels,4400,13,,,,D,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,discovery
cholesterol profile test,4400,42,,,,I,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,commercial,,,,discovery
brain fog symptom,4400,30,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,discovery
allergy screen blood test,3600,11,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,backlog
hormone tests,3600,0,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,spoke,,,,backlog
creatinine on blood test,3600,41,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,commercial,,,,backlog
free androgen index,3600,0,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,spoke,,,,backlog
hct pcv high,3600,15,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
haematocrit pcv high,3600,9,,,,D,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,spoke,,,,backlog
how to improve ferritin levels,3600,4,,,,D,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,spoke,,,,discovery
how to increase ferritin levels,3600,0,,,,D,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,spoke,,,,discovery
how to boost ferritin levels,3600,23,,,,D,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,discovery
how to raise ferritin levels,3600,0,,,,D,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,spoke,,,,discovery
how to increase ferritin,3600,10,,,,D,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,spoke,,,,discovery
converter hba1c,3600,14,,,,I,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,discovery
blood work test results,3600,22,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,commercial,,,,discovery
home blood testing,2900,0,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,n,CONTESTED,backlog
home blood tests,2900,0,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,n,CONTESTED,backlog
mpv blood test,2900,22,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,commercial,,,,backlog
home blood analysis,2900,7,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,spoke,,,,backlog
natural glp 1,2900,14,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
amrap,2900,10,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,spoke,,,,backlog
best vitamin d supplement uk,2900,6,,,,A,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,spoke,,,,backlog
bmi winterbourne hospital,2900,0,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,spoke,,,,backlog
symptoms of hormonal imbalance,2900,24,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,backlog
healthy cholesterol range uk,2900,27,,,,I,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,backlog
normal cholesterol range uk,2900,19,,,,I,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
mpv fl blood test,2900,22,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,commercial,,,,backlog
mpv lab test,2900,22,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,commercial,,,,backlog
blood report mpv,2900,22,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,backlog
vitamin a d e k deficiency,2900,21,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,discovery
ferritin supplement,2900,5,,,,D,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,spoke,,,,discovery
high ferritin,2900,11,,,,D,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,discovery
ferritin elevated,2900,28,,,,D,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,discovery
ferritin elevation,2900,5,,,,D,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,spoke,,,,discovery
what is tested in a full blood count,2900,10,,,,D,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,spoke,,,,discovery
what are full blood count test,2900,22,,,,D,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,discovery
amrap meaning,2400,0,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,spoke,,,,backlog
how to test testosterone levels,2400,6,,,,C,3,candidate,high,teardown/discovery 2026-06-21,,,dfs,6,spoke,gate,,,backlog
bilirubin normal value,2400,1,,,,H,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,spoke,,,,backlog
bilirubin healthy range,2400,21,,,,H,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,backlog
transferrin saturation index,2400,0,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,spoke,,,,backlog
what level of alkaline phosphatase is dangerous,2400,21,,,,H,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,backlog
na levels,2400,24,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,backlog
transferrin saturation low,2400,1,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,spoke,,,,backlog
cholesterol screening kits,2400,0,,,,I,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,spoke,,,,backlog
gamma gt high,2400,9,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,spoke,,,,backlog
what is haemoglobin blood test,2400,24,,,,D,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,backlog
inflammation marker blood test,2400,27,,,,G,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,commercial,,,,backlog
blood test mchc low,2400,0,,,,D,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,spoke,,,,backlog
cholesterol measurement kit,2400,11,,,,I,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
what does a full blood count show,2400,26,,,,D,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,discovery
what does a full blood count test show,2400,26,,,,D,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,commercial,,,,discovery
hba1c chart conversion,2400,21,,,,I,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,discovery
hba1c converter chart,2400,5,,,,I,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,spoke,,,,discovery
how long blood test results,2400,0,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,spoke,,,,discovery
test level check,1900,2,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,backlog
testing levels of testosterone,1900,9,,,,C,3,candidate,high,teardown/discovery 2026-06-21,,,dfs,5,spoke,gate,,,backlog
testosterone check kit,1900,0,,,,C,3,candidate,high,teardown/discovery 2026-06-21,,,dfs,5,spoke,gate,,,backlog
testosterone level check,1900,14,,,,C,3,candidate,high,teardown/discovery 2026-06-21,,,dfs,4,spoke,gate,,,backlog
testosterone testing kit,1900,0,,,,C,3,candidate,high,teardown/discovery 2026-06-21,,,dfs,5,spoke,gate,,,backlog
testosterone testing uk,1900,0,,,,C,3,candidate,high,teardown/discovery 2026-06-21,,,dfs,5,spoke,gate,,,backlog
checking test levels,1900,10,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,backlog
cortisol levels test,1900,5,,,,cortisol,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,backlog
insulin resistance test,1900,0,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,backlog
cortisol levels check,1900,12,,,,cortisol,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,backlog
gene methylation test,1900,0,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,backlog
genetic methylation test,1900,2,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,backlog
methylation gene testing,1900,0,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
do eggs contain iron,1900,12,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,backlog
vitamin deficiency check,1900,0,,,,A,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
vitamins deficiency test,1900,1,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,backlog
food of energy,1900,13,,,,B,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,backlog
peripheral blood test,1900,0,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,backlog
what is lab test mch,1900,11,,,,D,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,backlog
mean platelet value,1900,4,,,,D,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
blood film,1900,0,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
mpv platelets,1900,11,,,,D,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,backlog
gut health checks,1900,0,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,backlog
signs and symptoms vitamin d deficiency,1900,8,,,,A,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,discovery
test to check testosterone level,1900,21,,,,C,3,candidate,high,teardown/discovery 2026-06-21,,,dfs,4,commercial,gate,,,discovery
testosterone kit test,1900,0,,,,C,3,candidate,high,teardown/discovery 2026-06-21,,,dfs,6,commercial,gate,,,discovery
how quickly will doctor call with blood test results,1900,0,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,discovery
free cholesterol test at boots,1900,0,,,,I,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,discovery
deranged liver function test,1900,20,,,,H,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,commercial,,,,discovery
brain fog cause,1900,8,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,discovery
blood test results rdw high,1900,2,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,discovery
mean cell hemoglobin concentration high,1600,11,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,backlog
normal albumin levels,1600,20,,,,H,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,backlog
blood test uk,1600,14,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,commercial,,,,backlog
serum testosterone level,1600,11,,,,C,3,candidate,high,teardown/discovery 2026-06-21,,,dfs,4,spoke,gate,,,backlog
testosterone levels in man,1600,18,,,,C,3,candidate,high,teardown/discovery 2026-06-21,,,dfs,4,spoke,gate,,,backlog
homocysteine test,1600,0,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,backlog
progesterone test,1600,0,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,backlog
emoms,1600,0,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
serum gamma gt,1600,10,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
serum urea level high,1600,2,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
evorel conti patches reviews,1600,0,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
high mean cell haemoglobin concentration,1600,11,,,,D,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,backlog
normal ferritin levels by age,1600,19,,,,D,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,backlog
mean corpuscular hemoglobin concentration high,1600,0,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
blood test potassium,1600,7,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,backlog
alcohol tests,1600,14,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,backlog
wbc total count,1600,12,,,,D,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,backlog
cholesterol check home kit,1600,6,,,,I,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
cholesterol home test kit,1600,0,,,,I,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,backlog
home testing cholesterol kit,1600,0,,,,I,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
vitals,1600,11,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,backlog
health mot,1600,14,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,backlog
anti ccp antibodies,1600,2,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
balance my hormones,1600,17,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,backlog
boots cholesterol test,1600,0,,,,I,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,discovery
liver function test normal levels,1600,4,,,,H,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,discovery
liver function test normal values,1600,10,,,,H,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,discovery
liver function blood test normal range,1600,19,,,,H,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,discovery
liver function blood test normal values,1600,17,,,,H,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,discovery
boots pharmacy cholesterol test,1600,0,,,,I,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,discovery
cholesterol test boots chemist,1600,0,,,,I,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,discovery
private clinic london blood test,1600,3,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,discovery
home test thyroid,1600,0,,,,J,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,discovery
how.to get rid of brain fog,1600,18,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,discovery
eosinophils blood test,1300,0,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,backlog
emom meaning,1300,0,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
blood test for magnesium,1300,19,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,commercial,,,,backlog
alt normal value,1300,1,,,,H,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
methylation testing,1300,0,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
serum total bilirubin,1300,13,,,,H,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,backlog
qfit,1300,0,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
hormonal imbalances test,1300,15,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,commercial,,,,backlog
hormones checked for imbalances,1300,0,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
hormonal imbalance testing,1300,0,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
menstruation hormone chart,1300,15,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,backlog
normal value of urea,1300,8,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
blood test monocytes,1300,0,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,backlog
urea normal levels,1300,6,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
luteinizing hormone meaning,1300,19,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,backlog
mean cell hemoglobin concentration low,1300,8,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
na blood test,1300,3,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,backlog
low mean cell haemoglobin concentration,1300,0,,,,D,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
meaning of /lh,1300,17,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,backlog
lymphocytes blood test,1300,5,,,,D,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,backlog
72/4,1300,0,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
vitamin d deficiency treatment,1300,18,,,,A,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,discovery
full blood count abnormal,1300,15,,,,D,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,discovery
menopausal brain fog,1300,8,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,discovery
how long does it take to get blood test results,1300,0,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,discovery
home blood test kit,1000,0,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,backlog
complete blood test uk,1000,0,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,backlog
hormones males,1000,15,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,backlog
blood test kit,1000,0,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,backlog
blood testing kits,1000,6,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,backlog
fbc blood test uk,1000,0,,,,D,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,backlog
folate normal level,1000,3,,,,D/B12,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
full blood test uk,1000,0,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,backlog
globulin blood test,1000,16,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,commercial,,,,backlog
how much protein can you absorb in one meal,1000,0,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
lipoprotein test,1000,7,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,backlog
coming off the contraceptive pill,1000,15,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,backlog
coming off the contraceptive pill side effects,1000,6,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
ggt test,1000,10,,,,H,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,backlog
eggs for iron,1000,12,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,backlog
gamma glutamyl transferase test,1000,5,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,backlog
gamma gt test,1000,3,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,backlog
normal range of alkaline phosphatase,1000,0,,,,H,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
evorel sequi patches reviews,1000,0,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
urea level,1000,6,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
what is luteinising hormone,1000,13,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,backlog
energy increasing food,1000,11,,,,B,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,backlog
which foods contain b12,1000,16,,,,D/B12,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,backlog
food for energy boost,1000,16,,,,B,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,backlog
food for energy booster,1000,15,,,,B,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,backlog
lab test globulin,1000,5,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,backlog
blood film test,1000,0,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,backlog
hb test,1000,15,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,commercial,,,,backlog
anti ccp blood test,1000,1,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,backlog
what is f b c,1000,7,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
haemoglobin levels uk,1000,7,,,,D,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
hb levels uk,1000,0,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
aids test home kit,1000,12,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,commercial,,,,backlog
hiv test home testing kits,1000,22,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,commercial,,,,backlog
home test kits hiv,1000,19,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,commercial,,,,backlog
can i see my blood test results online nhs,1000,3,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,discovery
full blood count uk,1000,19,,,,D,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,discovery
